nb_genes,name,product,type,partition,subpartition,partition_exact,partition_soft,length_avg,length_med,nb_organisms,Vibrio_coralliilyticus_RE22A,Vibrio_coralliilyticus_ATCC_BAA-450,Vibrio_coralliilyticus_OCN008,Vibrio_coralliilyticus_SNUTY-1,Vibrio_coralliilyticus_RE22B,Vibrio_coralliilyticus_AIC-7,Vibrio_coralliilyticus_S2052,Vibrio_coralliilyticus_S2043,viz,label,Vibrio_coralliilyticus_OCN014,Vibrio_coralliilyticus_080116A,Vibrio_coralliilyticus_RE98,Vibrio_coralliilyticus_NA0301,Vibrio_coralliilyticus_58,Vibrio_coralliilyticus_RE87,Vibrio_coralliilyticus_P1,degree
13,,hypothetical protein,CDS,persistent,P,exact_accessory,soft_accessory,1601.0,1601,13,IJBHHNBA_02663,CPFIEJMN_01022,,,MKACMLCG_01226,NMLJHHJO_04332,NFFLFIEF_00559,GIHCKAFH_01428,"{'color': {'r': 247, 'g': 165, 'b': 7, 'a': 0.0}, 'size': 13.0}",CPFIEJMN_01022,AADFBFMN_00957,PFGAHHNN_02608,HCPBJEEI_01928,PNJLNNEM_00515,FLLLBHKB_03022,ACOGLMFH_01447,AHGDBNMD_02984,2
15,hns,DNA-binding protein H-NS,CDS,persistent,P,exact_core,soft_core,407.0,407,15,IJBHHNBA_02664,CPFIEJMN_01023,FKIKDOPA_02653,KFHGEANF_02592,MKACMLCG_01227,NMLJHHJO_04331,NFFLFIEF_00560,GIHCKAFH_01429,"{'color': {'r': 247, 'g': 165, 'b': 7, 'a': 0.0}, 'size': 15.0}",CPFIEJMN_01023,AADFBFMN_00956,PFGAHHNN_02609,HCPBJEEI_01929,PNJLNNEM_00516,FLLLBHKB_03021,ACOGLMFH_01448,AHGDBNMD_02985,4
15,gsk_1,Inosine-guanosine kinase,CDS,persistent,P,exact_core,soft_core,1304.0,1304,15,IJBHHNBA_02665,CPFIEJMN_01024,FKIKDOPA_02652,KFHGEANF_02593,MKACMLCG_01228,NMLJHHJO_04330,NFFLFIEF_00561,GIHCKAFH_01430,"{'color': {'r': 247, 'g': 165, 'b': 7, 'a': 0.0}, 'size': 15.0}",CPFIEJMN_01024,AADFBFMN_00955,PFGAHHNN_02610,HCPBJEEI_01930,PNJLNNEM_00517,FLLLBHKB_03020,ACOGLMFH_01449,AHGDBNMD_02986,2
15,,hypothetical protein,CDS,persistent,P,exact_core,soft_core,269.0,269,15,IJBHHNBA_02666,CPFIEJMN_01025,FKIKDOPA_02651,KFHGEANF_02594,MKACMLCG_01229,NMLJHHJO_04329,NFFLFIEF_00562,GIHCKAFH_01431,"{'color': {'r': 247, 'g': 165, 'b': 7, 'a': 0.0}, 'size': 15.0}",CPFIEJMN_01025,AADFBFMN_00954,PFGAHHNN_02611,HCPBJEEI_01931,PNJLNNEM_00518,FLLLBHKB_03019,ACOGLMFH_01450,AHGDBNMD_02987,2
15,mnmA,tRNA-specific 2-thiouridylase MnmA,CDS,persistent,P,exact_core,soft_core,1121.0,1121,15,IJBHHNBA_02667,CPFIEJMN_01026,FKIKDOPA_02650,KFHGEANF_02595,MKACMLCG_01230,NMLJHHJO_04328,NFFLFIEF_00563,GIHCKAFH_01432,"{'color': {'r': 247, 'g': 165, 'b': 7, 'a': 0.0}, 'size': 15.0}",CPFIEJMN_01026,AADFBFMN_00953,PFGAHHNN_02612,HCPBJEEI_01932,PNJLNNEM_00519,FLLLBHKB_03018,ACOGLMFH_01451,AHGDBNMD_02988,2
15,hflD,High frequency lysogenization protein HflD,CDS,persistent,P,exact_core,soft_core,617.0,617,15,IJBHHNBA_02668,CPFIEJMN_01027,FKIKDOPA_02649,KFHGEANF_02596,MKACMLCG_01231,NMLJHHJO_04327,NFFLFIEF_00564,GIHCKAFH_01433,"{'color': {'r': 247, 'g': 165, 'b': 7, 'a': 0.0}, 'size': 15.0}",CPFIEJMN_01027,AADFBFMN_00952,PFGAHHNN_02613,HCPBJEEI_01933,PNJLNNEM_00520,FLLLBHKB_03017,ACOGLMFH_01452,AHGDBNMD_02989,2
15,purB,Adenylosuccinate lyase,CDS,persistent,P,exact_core,soft_core,1370.0,1370,15,IJBHHNBA_02669,CPFIEJMN_01028,FKIKDOPA_02648,KFHGEANF_02597,MKACMLCG_01232,NMLJHHJO_04326,NFFLFIEF_00565,GIHCKAFH_01434,"{'color': {'r': 247, 'g': 165, 'b': 7, 'a': 0.0}, 'size': 15.0}",CPFIEJMN_01028,AADFBFMN_00951,PFGAHHNN_02614,HCPBJEEI_01934,PNJLNNEM_00521,FLLLBHKB_03016,ACOGLMFH_01453,AHGDBNMD_02990,2
15,,hypothetical protein,CDS,persistent,P,exact_core,soft_core,533.0,533,15,IJBHHNBA_02670,CPFIEJMN_01029,FKIKDOPA_02647,KFHGEANF_02598,MKACMLCG_01233,NMLJHHJO_04325,NFFLFIEF_00566,GIHCKAFH_01435,"{'color': {'r': 247, 'g': 165, 'b': 7, 'a': 0.0}, 'size': 15.0}",CPFIEJMN_01029,AADFBFMN_00950,PFGAHHNN_02615,HCPBJEEI_01935,PNJLNNEM_00522,FLLLBHKB_03015,ACOGLMFH_01454,AHGDBNMD_02991,2
15,,hypothetical protein,CDS,persistent,P,exact_core,soft_core,524.0,524,15,IJBHHNBA_02672,CPFIEJMN_01031,FKIKDOPA_02645,KFHGEANF_02600,MKACMLCG_01235,NMLJHHJO_04323,NFFLFIEF_00568,GIHCKAFH_01437,"{'color': {'r': 247, 'g': 165, 'b': 7, 'a': 0.0}, 'size': 15.0}",CPFIEJMN_01031,AADFBFMN_00948,PFGAHHNN_02617,HCPBJEEI_01937,PNJLNNEM_00524,FLLLBHKB_03013,ACOGLMFH_01456,AHGDBNMD_02993,4
13,ufaA1,Tuberculostearic acid methyltransferase UfaA1,CDS,persistent,P,exact_accessory,soft_accessory,1238.0,1238,13,IJBHHNBA_02673,CPFIEJMN_01032,,,MKACMLCG_01236,NMLJHHJO_04322,NFFLFIEF_00569,GIHCKAFH_01438,"{'color': {'r': 247, 'g': 165, 'b': 7, 'a': 0.0}, 'size': 13.0}",CPFIEJMN_01032,AADFBFMN_00947,PFGAHHNN_02618,HCPBJEEI_01938,PNJLNNEM_00525,FLLLBHKB_03012,ACOGLMFH_01457,AHGDBNMD_02994,2
14,,hypothetical protein,CDS,persistent,P,exact_accessory,soft_accessory,1280.0,1280,14,IJBHHNBA_02675,CPFIEJMN_01034,,KFHGEANF_02604,MKACMLCG_01238,NMLJHHJO_04320,NFFLFIEF_00571,GIHCKAFH_01440,"{'color': {'r': 247, 'g': 165, 'b': 7, 'a': 0.0}, 'size': 14.0}",CPFIEJMN_01034,AADFBFMN_00945,PFGAHHNN_02620,HCPBJEEI_01940,PNJLNNEM_00527,FLLLBHKB_03010,ACOGLMFH_01459,AHGDBNMD_02996,2
15,,hypothetical protein,CDS,persistent,P,exact_core,soft_core,725.0,725,15,IJBHHNBA_02676,CPFIEJMN_01035,FKIKDOPA_02639,KFHGEANF_02605,MKACMLCG_01239,NMLJHHJO_04319,NFFLFIEF_00572,GIHCKAFH_01441,"{'color': {'r': 247, 'g': 165, 'b': 7, 'a': 0.0}, 'size': 15.0}",CPFIEJMN_01035,AADFBFMN_00944,PFGAHHNN_02621,HCPBJEEI_01941,PNJLNNEM_00528,FLLLBHKB_03009,ACOGLMFH_01460,AHGDBNMD_02997,3
15,,hypothetical protein,CDS,persistent,P,exact_core,soft_core,419.0,419,15,IJBHHNBA_02677,CPFIEJMN_01036,FKIKDOPA_02638,KFHGEANF_02606,MKACMLCG_01240,NMLJHHJO_04318,NFFLFIEF_00573,GIHCKAFH_01442,"{'color': {'r': 247, 'g': 165, 'b': 7, 'a': 0.0}, 'size': 15.0}",CPFIEJMN_01036,AADFBFMN_00943,PFGAHHNN_02622,HCPBJEEI_01942,PNJLNNEM_00529,FLLLBHKB_03008,ACOGLMFH_01461,AHGDBNMD_02998,3
15,,hypothetical protein,CDS,persistent,P,exact_core,soft_core,579.4,578,15,IJBHHNBA_00459,CPFIEJMN_02897,FKIKDOPA_00287,KFHGEANF_03811,MKACMLCG_03664,NMLJHHJO_02935,NFFLFIEF_02206,GIHCKAFH_02176,"{'color': {'r': 247, 'g': 165, 'b': 7, 'a': 0.0}, 'size': 15.0}",HCPBJEEI_04315,AADFBFMN_03824,PFGAHHNN_01472,HCPBJEEI_04315,PNJLNNEM_02600,FLLLBHKB_03595,ACOGLMFH_04915,AHGDBNMD_02221,5
8,,hypothetical protein,CDS,shell,S1,exact_accessory,soft_accessory,623.75,623,8,IJBHHNBA_00458,,,,MKACMLCG_03665,,NFFLFIEF_02205,GIHCKAFH_02175,"{'color': {'r': 0, 'g': 216, 'b': 96, 'a': 0.0}, 'size': 8.0}",HCPBJEEI_04316,AADFBFMN_03823,PFGAHHNN_01471,HCPBJEEI_04316,,,ACOGLMFH_04916,,2
8,,hypothetical protein,CDS,shell,S1,exact_accessory,soft_accessory,743.0,743,8,IJBHHNBA_00457,,,,MKACMLCG_03666,,NFFLFIEF_02204,GIHCKAFH_02174,"{'color': {'r': 0, 'g': 216, 'b': 96, 'a': 0.0}, 'size': 8.0}",HCPBJEEI_04317,AADFBFMN_03822,PFGAHHNN_01470,HCPBJEEI_04317,,,ACOGLMFH_04917,,2
8,,hypothetical protein,CDS,shell,S1,exact_accessory,soft_accessory,353.0,353,8,IJBHHNBA_00456,,,,MKACMLCG_03667,,NFFLFIEF_02203,GIHCKAFH_02173,"{'color': {'r': 0, 'g': 216, 'b': 96, 'a': 0.0}, 'size': 8.0}",HCPBJEEI_04318,AADFBFMN_03821,PFGAHHNN_01469,HCPBJEEI_04318,,,ACOGLMFH_04918,,3
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,293.0,293,1,,,,,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",HCPBJEEI_04329,,,HCPBJEEI_04329,,,,,2
1,bhuA_2,Heme transporter BhuA,CDS,cloud,C,exact_accessory,soft_accessory,1997.0,1997,1,,,,,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",HCPBJEEI_04330,,,HCPBJEEI_04330,,,,,2
1,rhaS_12,HTH-type transcriptional activator RhaS,CDS,cloud,C,exact_accessory,soft_accessory,971.0,971,1,,,,,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",HCPBJEEI_04331,,,HCPBJEEI_04331,,,,,2
3,dnhB,2%2C4-dinitroanisole O-demethylase subunit beta,CDS,cloud,C,exact_accessory,soft_accessory,866.0,866,3,,,,KFHGEANF_05205,,,NFFLFIEF_02430,GIHCKAFH_03911,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 3.0}",NFFLFIEF_02430,,,,,,,,3
3,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,191.0,191,3,,,,KFHGEANF_05236,,,NFFLFIEF_02458,GIHCKAFH_03939,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 3.0}",NFFLFIEF_02458,,,,,,,,2
10,ompL_1,Porin-like protein L,CDS,persistent,P,exact_accessory,soft_accessory,1046.0,1046,10,IJBHHNBA_00906,,,KFHGEANF_05255,MKACMLCG_04915,NMLJHHJO_00743,NFFLFIEF_02474,GIHCKAFH_03955,"{'color': {'r': 247, 'g': 165, 'b': 7, 'a': 0.0}, 'size': 10.0}",NFFLFIEF_02474,,PFGAHHNN_00333,,,FLLLBHKB_04859,ACOGLMFH_00252,AHGDBNMD_02915,4
2,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,545.0,545,2,,,FKIKDOPA_05380,,,,NFFLFIEF_02481,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 2.0}",NFFLFIEF_02481,,,,,,,,1
12,aao,putative D-amino-acid oxidase,CDS,persistent,P,exact_accessory,soft_accessory,1103.5,1100,12,IJBHHNBA_01946,CPFIEJMN_04133,FKIKDOPA_05316,KFHGEANF_05945,MKACMLCG_05091,NMLJHHJO_04810,NFFLFIEF_04996,GIHCKAFH_04487,"{'color': {'r': 247, 'g': 165, 'b': 7, 'a': 0.0}, 'size': 12.0}",NFFLFIEF_04996,AADFBFMN_05306,,HCPBJEEI_05268,PNJLNNEM_04077,,,AHGDBNMD_04071,3
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,416.0,416,1,,,,,,,NFFLFIEF_05016,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",NFFLFIEF_05016,,,,,,,,0
2,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,551.0,551,2,,,,,,,NFFLFIEF_01852,GIHCKAFH_02442,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 2.0}",GIHCKAFH_02442,,,,,,,,2
4,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,1520.0,1520,4,,,FKIKDOPA_03259,,,,NFFLFIEF_01854,GIHCKAFH_02444,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 4.0}",GIHCKAFH_02444,AADFBFMN_03454,,,,,,,2
4,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,506.0,506,4,,,FKIKDOPA_03260,,,,NFFLFIEF_01855,GIHCKAFH_02445,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 4.0}",GIHCKAFH_02445,AADFBFMN_03455,,,,,,,2
4,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,479.0,479,4,,,FKIKDOPA_03261,,,,NFFLFIEF_01856,GIHCKAFH_02446,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 4.0}",GIHCKAFH_02446,AADFBFMN_03456,,,,,,,2
2,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,1037.0,1037,2,,,,,,,NFFLFIEF_01860,GIHCKAFH_02450,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 2.0}",GIHCKAFH_02450,,,,,,,,2
4,tktA_1,Transketolase 1,CDS,cloud,C,exact_accessory,soft_accessory,182.0,182,2,,,,,,,NFFLFIEF_04313|NFFLFIEF_02295,GIHCKAFH_02265|GIHCKAFH_04926,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 2.0}",GIHCKAFH_04926,,,,,,,,2
4,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,1103.75,1106,4,IJBHHNBA_02686,,,,MKACMLCG_01249,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 4.0}",IJBHHNBA_02686,,PFGAHHNN_02631,,,FLLLBHKB_02999,,,2
2,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,1739.0,1739,2,,,,KFHGEANF_01555,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 2.0}",FLLLBHKB_00629,,,,,FLLLBHKB_00629,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,308.0,308,1,,,,,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",FLLLBHKB_00647,,,,,FLLLBHKB_00647,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,200.0,200,1,,,,,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",FLLLBHKB_00651,,,,,FLLLBHKB_00651,,,2
1,azoR_1,FMN-dependent NADH-azoreductase,CDS,cloud,C,exact_accessory,soft_accessory,614.0,614,1,,,,,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",FLLLBHKB_00652,,,,,FLLLBHKB_00652,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,539.0,539,1,,,,,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",FLLLBHKB_00653,,,,,FLLLBHKB_00653,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,2099.0,2099,1,,,,,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",FLLLBHKB_00654,,,,,FLLLBHKB_00654,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,1922.0,1922,1,,,,,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",FLLLBHKB_00662,,,,,FLLLBHKB_00662,,,2
1,rhaS_2,HTH-type transcriptional activator RhaS,CDS,cloud,C,exact_accessory,soft_accessory,866.0,866,1,,,,,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",FLLLBHKB_00663,,,,,FLLLBHKB_00663,,,2
2,dmlR_5,HTH-type transcriptional regulator DmlR,CDS,cloud,C,exact_accessory,soft_accessory,902.0,902,2,,CPFIEJMN_03869,,,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 2.0}",FLLLBHKB_00664,,,,,FLLLBHKB_00664,,,4
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,890.0,890,1,,,,,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",FLLLBHKB_00665,,,,,FLLLBHKB_00665,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,356.0,356,1,,,,,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",FLLLBHKB_00666,,,,,FLLLBHKB_00666,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,545.0,545,1,,,,,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",FLLLBHKB_00671,,,,,FLLLBHKB_00671,,,2
15,,hypothetical protein,CDS,persistent,P,exact_core,soft_core,2454.8,2489,15,IJBHHNBA_03852,CPFIEJMN_03152,FKIKDOPA_00400,KFHGEANF_01505,MKACMLCG_00330,NMLJHHJO_01709,NFFLFIEF_03826,GIHCKAFH_00363,"{'color': {'r': 247, 'g': 165, 'b': 7, 'a': 0.0}, 'size': 15.0}",FLLLBHKB_00679,AADFBFMN_01944,PFGAHHNN_04725,HCPBJEEI_01027,PNJLNNEM_03663,FLLLBHKB_00679,ACOGLMFH_03785,AHGDBNMD_03098,5
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,257.0,257,1,,,,,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",FLLLBHKB_03841,,,,,FLLLBHKB_03841,,,2
3,,IS110 family transposase IS5708,CDS,cloud,C,exact_accessory,soft_accessory,1022.0,1022,1,,,,,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",FLLLBHKB_03890,,,,,FLLLBHKB_05066|FLLLBHKB_03890|FLLLBHKB_05097,,,6
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,176.0,176,1,,,,,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",FLLLBHKB_03905,,,,,FLLLBHKB_03905,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,1010.0,1010,1,,,,,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",FLLLBHKB_03906,,,,,FLLLBHKB_03906,,,2
1,bcr_2,Bicyclomycin resistance protein,CDS,cloud,C,exact_accessory,soft_accessory,551.0,551,1,,,,KFHGEANF_02292,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02292,,,,,,,,2
1,radD_1,Putative DNA repair helicase RadD,CDS,cloud,C,exact_accessory,soft_accessory,1328.0,1328,1,,,,KFHGEANF_02294,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02294,,,,,,,,2
1,radD_2,Putative DNA repair helicase RadD,CDS,cloud,C,exact_accessory,soft_accessory,305.0,305,1,,,,KFHGEANF_02295,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02295,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,332.0,332,1,,,,KFHGEANF_02298,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02298,,,,,,,,2
1,phoQ,Virulence sensor histidine kinase PhoQ,CDS,cloud,C,exact_accessory,soft_accessory,722.0,722,1,,,,KFHGEANF_02299,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02299,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,383.0,383,1,,,,KFHGEANF_02300,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02300,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,179.0,179,1,,,,KFHGEANF_02301,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02301,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,242.0,242,1,,,,KFHGEANF_02314,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02314,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,179.0,179,1,,,,KFHGEANF_02315,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02315,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,113.0,113,1,,,,KFHGEANF_02317,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02317,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,740.0,740,1,,,,KFHGEANF_02318,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02318,,,,,,,,2
2,sutR_1,HTH-type transcriptional regulator SutR,CDS,cloud,C,exact_accessory,soft_accessory,602.0,602,2,,,,KFHGEANF_02320,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 2.0}",KFHGEANF_02320,,,,,,,AHGDBNMD_01419,4
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,266.0,266,1,,,,KFHGEANF_02321,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02321,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,425.0,425,1,,,,KFHGEANF_02322,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02322,,,,,,,,2
2,argO_2,Arginine exporter protein ArgO,CDS,cloud,C,exact_accessory,soft_accessory,629.0,629,2,,,,KFHGEANF_02323,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 2.0}",KFHGEANF_02323,,,,,,,AHGDBNMD_01421,4
1,ddpX,D-alanyl-D-alanine dipeptidase,CDS,cloud,C,exact_accessory,soft_accessory,659.0,659,1,,,,KFHGEANF_02329,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02329,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,431.0,431,1,,,,KFHGEANF_02332,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02332,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,665.0,665,1,,,,KFHGEANF_02338,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02338,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,302.0,302,1,,,,KFHGEANF_02339,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02339,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,305.0,305,1,,,,KFHGEANF_02345,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02345,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,320.0,320,1,,,,KFHGEANF_02359,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02359,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,221.0,221,1,,,,KFHGEANF_02360,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02360,,,,,,,,2
1,,putative signaling protein,CDS,cloud,C,exact_accessory,soft_accessory,617.0,617,1,,,,KFHGEANF_02365,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02365,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,1130.0,1130,1,,,,KFHGEANF_02366,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02366,,,,,,,,2
1,yhaJ_1,HTH-type transcriptional regulator YhaJ,CDS,cloud,C,exact_accessory,soft_accessory,245.0,245,1,,,,KFHGEANF_02376,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02376,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,494.0,494,1,,,,KFHGEANF_02377,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02377,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,515.0,515,1,,,,KFHGEANF_02378,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02378,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,410.0,410,1,,,,KFHGEANF_02379,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02379,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,305.0,305,1,,,,KFHGEANF_02390,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02390,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,887.0,887,1,,,,KFHGEANF_02391,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02391,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,500.0,500,1,,,,KFHGEANF_05084,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_05084,,,,,,,,2
